SellerCompanyID,SellerCompanyName,SellerSector,Period,Good,AmountTotal,AmountVAT,MarketVolume,CalcVATPeriod
3,TomatoMagic Co.,Food Producers,8086,Canned Tomatoes,1496.21,249.37,1419.0175,2021-Q3
7,Luigi's Pizzeria,Pizzarias (B2C),8087,Pizza,1677.26,279.56,1628.8600000000001,2021-Q4
8,Napoli Express,Pizzarias (B2C),8087,Pizza,1960.07,326.68,1628.8600000000001,2021-Q4
6,AgroDistrib Europe,Distributors,8087,Cheese,1187.22,197.89,1628.8600000000001,2021-Q4
5,FreshLink Logistics,Distributors,8087,Canned Tomatoes,1714.73,285.78000000000003,1628.8600000000001,2021-Q4
4,Farm2Can Ltd.,Food Producers,8087,Canned Tomatoes,2041.68,340.29,1628.8600000000001,2021-Q4
3,TomatoMagic Co.,Food Producers,8087,Canned Tomatoes,1844.0,307.34000000000003,1628.8600000000001,2021-Q4
2,Sunshine Growers,Farmers,8087,Tomatoes,1745.89,290.98,1628.8600000000001,2021-Q4
1,GreenFields Farm,Farmers,8087,Tomatoes,860.03,143.32999999999998,1628.8600000000001,2021-Q4
2,Sunshine Growers,Farmers,8088,Tomatoes,1237.03,206.16,1403.19875,2022-Q1
1,GreenFields Farm,Farmers,8088,Tomatoes,1087.76,181.29,1403.19875,2022-Q1
3,TomatoMagic Co.,Food Producers,8088,Canned Tomatoes,1669.13,278.2,1403.19875,2022-Q1
4,Farm2Can Ltd.,Food Producers,8088,Canned Tomatoes,1128.8,188.14,1403.19875,2022-Q1
5,FreshLink Logistics,Distributors,8088,Canned Tomatoes,1847.28,307.86,1403.19875,2022-Q1
6,AgroDistrib Europe,Distributors,8088,Cheese,903.7,150.63,1403.19875,2022-Q1
8,Napoli Express,Pizzarias (B2C),8088,Pizza,1909.47,318.24,1403.19875,2022-Q1
7,Luigi's Pizzeria,Pizzarias (B2C),8088,Pizza,1442.42,240.43,1403.19875,2022-Q1
3,TomatoMagic Co.,Food Producers,8089,Canned Tomatoes,1712.52,285.42,1497.57,2022-Q2
2,Sunshine Growers,Farmers,8089,Tomatoes,2254.52,375.73,1497.57,2022-Q2
6,AgroDistrib Europe,Distributors,8089,Cheese,725.79,120.96000000000001,1497.57,2022-Q2
1,GreenFields Farm,Farmers,8089,Tomatoes,1610.06,268.34,1497.57,2022-Q2
7,Luigi's Pizzeria,Pizzarias (B2C),8089,Pizza,1579.38,263.21,1497.57,2022-Q2
8,Napoli Express,Pizzarias (B2C),8089,Pizza,992.94,165.48,1497.57,2022-Q2
4,Farm2Can Ltd.,Food Producers,8089,Canned Tomatoes,1379.8700000000001,229.98,1497.57,2022-Q2
5,FreshLink Logistics,Distributors,8089,Canned Tomatoes,1725.48,287.58,1497.57,2022-Q2
6,AgroDistrib Europe,Distributors,8090,Cheese,1184.3600000000001,197.39000000000001,1481.2575000000002,2022-Q3
5,FreshLink Logistics,Distributors,8090,Canned Tomatoes,1554.99,259.16,1481.2575000000002,2022-Q3
8,Napoli Express,Pizzarias (B2C),8090,Pizza,692.88,115.49,1481.2575000000002,2022-Q3
7,Luigi's Pizzeria,Pizzarias (B2C),8090,Pizza,1967.09,327.85,1481.2575000000002,2022-Q3
3,TomatoMagic Co.,Food Producers,8090,Canned Tomatoes,1758.84,293.13,1481.2575000000002,2022-Q3
4,Farm2Can Ltd.,Food Producers,8090,Canned Tomatoes,2210.31,368.37,1481.2575000000002,2022-Q3
1,GreenFields Farm,Farmers,8090,Tomatoes,982.12,163.68,1481.2575000000002,2022-Q3
2,Sunshine Growers,Farmers,8090,Tomatoes,1499.47,249.91,1481.2575000000002,2022-Q3
7,Luigi's Pizzeria,Pizzarias (B2C),8091,Pizza,1543.72,257.27,1552.1999999999998,2022-Q4
8,Napoli Express,Pizzarias (B2C),8091,Pizza,758.54,126.43,1552.1999999999998,2022-Q4
6,AgroDistrib Europe,Distributors,8091,Cheese,1527.11,254.53,1552.1999999999998,2022-Q4
4,Farm2Can Ltd.,Food Producers,8091,Canned Tomatoes,1918.82,319.79,1552.1999999999998,2022-Q4
2,Sunshine Growers,Farmers,8091,Tomatoes,1249.11,208.18,1552.1999999999998,2022-Q4
1,GreenFields Farm,Farmers,8091,Tomatoes,1772.8,295.45,1552.1999999999998,2022-Q4
3,TomatoMagic Co.,Food Producers,8091,Canned Tomatoes,1472.32,245.39,1552.1999999999998,2022-Q4
5,FreshLink Logistics,Distributors,8091,Canned Tomatoes,2175.18,362.53,1552.1999999999998,2022-Q4
6,AgroDistrib Europe,Distributors,8092,Cheese,1173.26,195.54,1542.24625,2023-Q1
3,TomatoMagic Co.,Food Producers,8092,Canned Tomatoes,1999.5,333.24,1542.24625,2023-Q1
1,GreenFields Farm,Farmers,8092,Tomatoes,1781.31,296.89,1542.24625,2023-Q1
2,Sunshine Growers,Farmers,8092,Tomatoes,1599.58,266.6,1542.24625,2023-Q1
4,Farm2Can Ltd.,Food Producers,8092,Canned Tomatoes,1496.61,249.43,1542.24625,2023-Q1
5,FreshLink Logistics,Distributors,8092,Canned Tomatoes,1810.78,301.78,1542.24625,2023-Q1
8,Napoli Express,Pizzarias (B2C),8092,Pizza,1052.73,175.45,1542.24625,2023-Q1
7,Luigi's Pizzeria,Pizzarias (B2C),8092,Pizza,1424.2,237.38,1542.24625,2023-Q1
2,Sunshine Growers,Farmers,8093,Tomatoes,1810.51,301.75,1597.84625,2023-Q2
6,AgroDistrib Europe,Distributors,8093,Cheese,1934.11,322.35,1597.84625,2023-Q2
3,TomatoMagic Co.,Food Producers,8093,Canned Tomatoes,2069.31,344.9,1597.84625,2023-Q2
1,GreenFields Farm,Farmers,8093,Tomatoes,1892.43,315.41,1597.84625,2023-Q2
7,Luigi's Pizzeria,Pizzarias (B2C),8093,Pizza,936.73,156.12,1597.84625,2023-Q2
8,Napoli Express,Pizzarias (B2C),8093,Pizza,704.83,117.47,1597.84625,2023-Q2
4,Farm2Can Ltd.,Food Producers,8093,Canned Tomatoes,1720.84,286.8,1597.84625,2023-Q2
5,FreshLink Logistics,Distributors,8093,Canned Tomatoes,1714.01,285.67,1597.84625,2023-Q2
5,FreshLink Logistics,Distributors,8094,Canned Tomatoes,1711.05,285.18,1604.11375,2023-Q3
4,Farm2Can Ltd.,Food Producers,8094,Canned Tomatoes,1904.48,317.42,1604.11375,2023-Q3
8,Napoli Express,Pizzarias (B2C),8094,Pizza,883.5699999999999,147.28,1604.11375,2023-Q3
7,Luigi's Pizzeria,Pizzarias (B2C),8094,Pizza,1674.26,279.04,1604.11375,2023-Q3
2,Sunshine Growers,Farmers,8094,Tomatoes,2193.4,365.57,1604.11375,2023-Q3
3,TomatoMagic Co.,Food Producers,8094,Canned Tomatoes,1367.31,227.86,1604.11375,2023-Q3
6,AgroDistrib Europe,Distributors,8094,Cheese,1810.7,301.79,1604.11375,2023-Q3
1,GreenFields Farm,Farmers,8094,Tomatoes,1288.1399999999999,214.69,1604.11375,2023-Q3
7,Luigi's Pizzeria,Pizzarias (B2C),8095,Pizza,1558.03,259.69,1630.395,2023-Q4
8,Napoli Express,Pizzarias (B2C),8095,Pizza,1190.83,198.45,1630.395,2023-Q4
2,Sunshine Growers,Farmers,8095,Tomatoes,2251.41,375.25,1630.395,2023-Q4
1,GreenFields Farm,Farmers,8095,Tomatoes,1483.27,247.2,1630.395,2023-Q4
3,TomatoMagic Co.,Food Producers,8095,Canned Tomatoes,1355.28,225.87,1630.395,2023-Q4
4,Farm2Can Ltd.,Food Producers,8095,Canned Tomatoes,2248.17,374.69,1630.395,2023-Q4
5,FreshLink Logistics,Distributors,8095,Canned Tomatoes,1440.8400000000001,240.13,1630.395,2023-Q4
6,AgroDistrib Europe,Distributors,8095,Cheese,1515.33,252.54,1630.395,2023-Q4
8,Napoli Express,Pizzarias (B2C),8096,Pizza,1246.44,207.72,1412.94875,2024-Q1
7,Luigi's Pizzeria,Pizzarias (B2C),8096,Pizza,742.1,123.67,1412.94875,2024-Q1
2,Sunshine Growers,Farmers,8096,Tomatoes,1475.3,245.88,1412.94875,2024-Q1
1,GreenFields Farm,Farmers,8096,Tomatoes,1261.88,210.3,1412.94875,2024-Q1
3,TomatoMagic Co.,Food Producers,8096,Canned Tomatoes,1326.9,221.15,1412.94875,2024-Q1
4,Farm2Can Ltd.,Food Producers,8096,Canned Tomatoes,1654.6399999999999,275.77,1412.94875,2024-Q1
5,FreshLink Logistics,Distributors,8096,Canned Tomatoes,1831.49,305.24,1412.94875,2024-Q1
6,AgroDistrib Europe,Distributors,8096,Cheese,1764.84,294.14,1412.94875,2024-Q1
5,FreshLink Logistics,Distributors,8097,Canned Tomatoes,1310.46,218.41,1442.5425,2024-Q2
4,Farm2Can Ltd.,Food Producers,8097,Canned Tomatoes,1630.81,271.81,1442.5425,2024-Q2
7,Luigi's Pizzeria,Pizzarias (B2C),8097,Pizza,745.12,124.16,1442.5425,2024-Q2
8,Napoli Express,Pizzarias (B2C),8097,Pizza,1243.96,207.31,1442.5425,2024-Q2
1,GreenFields Farm,Farmers,8097,Tomatoes,1475.18,245.85,1442.5425,2024-Q2
3,TomatoMagic Co.,Food Producers,8097,Canned Tomatoes,1592.34,265.4,1442.5425,2024-Q2
6,AgroDistrib Europe,Distributors,8097,Cheese,1673.72,278.94,1442.5425,2024-Q2
2,Sunshine Growers,Farmers,8097,Tomatoes,1868.75,311.46999999999997,1442.5425,2024-Q2
2,Sunshine Growers,Farmers,8098,Tomatoes,984.5699999999999,164.09,1223.97625,2024-Q3
5,FreshLink Logistics,Distributors,8098,Canned Tomatoes,1612.6200000000001,268.76,1223.97625,2024-Q3
3,TomatoMagic Co.,Food Producers,8098,Canned Tomatoes,1147.01,191.17,1223.97625,2024-Q3
1,GreenFields Farm,Farmers,8098,Tomatoes,1368.31,228.04,1223.97625,2024-Q3
8,Napoli Express,Pizzarias (B2C),8098,Pizza,1219.97,203.33,1223.97625,2024-Q3
7,Luigi's Pizzeria,Pizzarias (B2C),8098,Pizza,1053.6200000000001,175.57999999999998,1223.97625,2024-Q3
6,AgroDistrib Europe,Distributors,8098,Cheese,1171.45,195.26,1223.97625,2024-Q3
4,Farm2Can Ltd.,Food Producers,8098,Canned Tomatoes,1234.26,205.71,1223.97625,2024-Q3
7,Luigi's Pizzeria,Pizzarias (B2C),8099,Pizza,720.34,120.07,1451.05875,2024-Q4
8,Napoli Express,Pizzarias (B2C),8099,Pizza,860.08,143.35,1451.05875,2024-Q4
1,GreenFields Farm,Farmers,8099,Tomatoes,1966.22,327.69,1451.05875,2024-Q4
3,TomatoMagic Co.,Food Producers,8099,Canned Tomatoes,1685.03,280.85,1451.05875,2024-Q4
5,FreshLink Logistics,Distributors,8099,Canned Tomatoes,1202.11,200.35,1451.05875,2024-Q4
2,Sunshine Growers,Farmers,8099,Tomatoes,1744.7,290.77,1451.05875,2024-Q4
4,Farm2Can Ltd.,Food Producers,8099,Canned Tomatoes,2033.3899999999999,338.9,1451.05875,2024-Q4
6,AgroDistrib Europe,Distributors,8099,Cheese,1396.6,232.75,1451.05875,2024-Q4
2,Sunshine Growers,Farmers,8100,Tomatoes,1248.26,208.02,1403.78875,2025-Q1
1,GreenFields Farm,Farmers,8100,Tomatoes,574.58,95.75999999999999,1403.78875,2025-Q1
6,AgroDistrib Europe,Distributors,8100,Cheese,2158.39,359.73,1403.78875,2025-Q1
7,Luigi's Pizzeria,Pizzarias (B2C),8100,Pizza,685.89,114.31,1403.78875,2025-Q1
8,Napoli Express,Pizzarias (B2C),8100,Pizza,937.96,156.31,1403.78875,2025-Q1
3,TomatoMagic Co.,Food Producers,8100,Canned Tomatoes,1600.6299999999999,266.75,1403.78875,2025-Q1
4,Farm2Can Ltd.,Food Producers,8100,Canned Tomatoes,2189.99,364.98,1403.78875,2025-Q1
5,FreshLink Logistics,Distributors,8100,Canned Tomatoes,1834.6100000000001,305.76,1403.78875,2025-Q1
5,FreshLink Logistics,Distributors,8101,Canned Tomatoes,659.41,109.9,694.3925,2025-Q2
4,Farm2Can Ltd.,Food Producers,8101,Canned Tomatoes,855.42,142.57,694.3925,2025-Q2
3,TomatoMagic Co.,Food Producers,8101,Canned Tomatoes,518.92,86.49,694.3925,2025-Q2
2,Sunshine Growers,Farmers,8101,Tomatoes,781.25,130.21,694.3925,2025-Q2
1,GreenFields Farm,Farmers,8101,Tomatoes,1222.3700000000001,203.74,694.3925,2025-Q2
6,AgroDistrib Europe,Distributors,8101,Cheese,630.87,105.15,694.3925,2025-Q2
7,Luigi's Pizzeria,Pizzarias (B2C),8101,Pizza,546.9300000000001,91.15,694.3925,2025-Q2
8,Napoli Express,Pizzarias (B2C),8101,Pizza,339.97,56.67,694.3925,2025-Q2
