InvoiceID,InvoiceTypeCode,InvoiceIssueDateTime,InvoicePaymentDueDate,InvoiceLineSpec (Y/N),InvoiceSellerAssignedID,InvoiceBuyerPO,SellerSelect,SellerCompanyID,SellerCountry,SellerIBANID,SellerPaymentRef,SellerDeliveryInfo,SellerNotes,BuyerSelect,BuyerCompanyID,BuyerCountry,AmountTotal,AmountCurrency,AmountVAT,ConfirmedByBuyer,ConfirmedByBank,ConfirmedPaymentDate,CalcVATPeriod,CalcProductionInput
INV000039,380,2021-06-04 21:43:59,2021-07-04 21:43:59,N,Company_029,PO-CUST-00039,Y,29,France,DE8119162929,REF-00039,Main warehouse,,Y,,,5271.77,EUR,878.63,N,Y,2021-07-02 21:43:59,2021-Q2,1
INV000040,380,2021-04-30 13:19:51,2021-05-30 13:19:51,N,Company_044,PO-Company_004-00040,Y,44,Luxembourg,DE8329188144,REF-00040,Main warehouse,,Y,4,France,990.47,EUR,165.08,Y,Y,2021-05-26 13:19:51,2021-Q2,3
INV000041,380,2020-09-22 15:15:58,2020-10-22 15:15:58,N,Company_029,PO-Company_014-00041,Y,29,France,DE8179554629,REF-00041,Main warehouse,,Y,14,France,8522.05,EUR,1420.34,Y,Y,2020-10-19 15:15:58,2020-Q3,1
INV000042,380,2022-05-22 20:02:15,2022-06-21 20:02:15,N,Company_048,PO-CUST-00042,Y,48,France,DE5286158548,REF-00042,Main warehouse,,Y,,,88726.3,EUR,14787.72,Y,N,2022-06-17 20:02:15,2022-Q2,2
INV000043,380,2021-06-05 01:00:26,2021-07-05 01:00:26,N,Company_005,PO-Company_032-00043,Y,5,Luxembourg,DE386814045,REF-00043,Main warehouse,,Y,32,Luxembourg,17107.42,EUR,2851.24,Y,N,2021-07-04 01:00:26,2021-Q2,2
INV000044,380,2020-08-20 07:06:56,2020-09-19 07:06:56,N,Company_022,PO-CUST-00044,Y,22,France,DE5714326922,REF-00044,Main warehouse,,Y,,,71473.85,EUR,11912.31,N,Y,2020-09-17 07:06:56,2020-Q3,1
INV000045,380,2021-07-24 22:03:48,2021-08-23 22:03:48,N,Company_002,PO-CUST-00045,Y,2,Luxembourg,DE449696042,REF-00045,Main warehouse,,Y,,,16994.42,EUR,2832.4,N,N,2021-08-23 22:03:48,2021-Q3,3
INV000046,380,2021-09-19 06:19:18,2021-10-19 06:19:18,N,Company_027,PO-Company_046-00046,Y,27,Luxembourg,DE6945371127,REF-00046,Main warehouse,,Y,46,Luxembourg,81321.58,EUR,13553.6,N,N,2021-10-16 06:19:18,2021-Q3,2
INV000047,380,2022-03-12 16:18:19,2022-04-11 16:18:19,N,Company_025,PO-Company_016-00047,Y,25,France,DE2712777525,REF-00047,Main warehouse,,Y,16,France,75638.41,EUR,12606.4,N,Y,2022-04-06 16:18:19,2022-Q1,3
INV000048,380,2023-06-29 13:46:15,2023-07-29 13:46:15,N,Company_030,PO-CUST-00048,Y,30,France,DE5532080430,REF-00048,Main warehouse,,Y,,,16007.2,EUR,2667.87,N,N,2023-07-29 13:46:15,2023-Q2,1
INV000049,380,2023-09-28 02:18:45,2023-10-28 02:18:45,N,Company_013,PO-Company_033-00049,Y,13,France,DE8725442913,REF-00049,Main warehouse,,Y,33,France,101782.87,EUR,16963.81,N,N,2023-10-25 02:18:45,2023-Q3,1
INV000050,380,2020-08-07 09:46:31,2020-09-06 09:46:31,N,Company_002,PO-Company_017-00050,Y,2,France,DE264872082,REF-00050,Main warehouse,,Y,17,France,73107.74,EUR,12184.62,Y,N,2020-09-05 09:46:31,2020-Q3,3
INV000051,380,2021-10-10 12:49:13,2021-11-09 12:49:13,N,Company_028,PO-Company_024-00051,Y,28,Luxembourg,DE1351125428,REF-00051,Main warehouse,,Y,24,Luxembourg,6621.23,EUR,1103.54,N,N,2021-11-06 12:49:13,2021-Q4,2
INV000052,380,2020-08-15 15:19:15,2020-09-14 15:19:15,N,Company_002,PO-Company_011-00052,Y,2,France,DE472989272,REF-00052,Main warehouse,,Y,11,Luxembourg,49833.35,EUR,8305.56,N,Y,2020-09-12 15:19:15,2020-Q3,3
INV000053,380,2022-06-30 14:14:53,2022-07-30 14:14:53,N,Company_017,PO-Company_014-00053,Y,17,Luxembourg,DE5519761917,REF-00053,Main warehouse,,Y,14,France,69067.42,EUR,11511.24,Y,Y,2022-07-28 14:14:53,2022-Q2,2
INV000054,380,2024-07-05 23:29:33,2024-08-04 23:29:33,N,Company_030,PO-Company_023-00054,Y,30,Luxembourg,DE4792828930,REF-00054,Main warehouse,,Y,23,Luxembourg,35659.51,EUR,5943.25,N,Y,2024-07-31 23:29:33,2024-Q3,1
INV000055,380,2021-08-14 05:32:13,2021-09-13 05:32:13,N,Company_050,PO-Company_017-00055,Y,50,Luxembourg,DE3802304550,REF-00055,Main warehouse,,Y,17,France,97397.46,EUR,16232.91,Y,N,2021-09-11 05:32:13,2021-Q3,2
INV000056,380,2023-10-29 00:07:34,2023-11-28 00:07:34,N,Company_004,PO-Company_023-00056,Y,4,France,DE658530754,REF-00056,Main warehouse,,Y,23,Luxembourg,942.4,EUR,157.07,N,N,2023-11-27 00:07:34,2023-Q4,3
INV000057,380,2021-06-06 00:24:06,2021-07-06 00:24:06,N,Company_004,PO-Company_001-00057,Y,4,France,DE645461204,REF-00057,Main warehouse,,Y,1,Luxembourg,12917.08,EUR,2152.85,N,Y,2021-07-02 00:24:06,2021-Q2,3
INV000058,380,2021-09-17 01:33:53,2021-10-17 01:33:53,N,Company_011,PO-CUST-00058,Y,11,Luxembourg,DE8406417411,REF-00058,Main warehouse,,Y,,,25624.44,EUR,4270.74,Y,Y,2021-10-17 01:33:53,2021-Q3,1
INV000059,380,2020-02-01 23:02:05,2020-03-02 23:02:05,N,Company_020,PO-Company_001-00059,Y,20,France,DE6829127420,REF-00059,Main warehouse,,Y,1,Luxembourg,23295.56,EUR,3882.59,Y,Y,2020-03-01 23:02:05,2020-Q1,2
INV000060,380,2021-11-08 12:49:40,2021-12-08 12:49:40,N,Company_049,PO-Company_006-00060,Y,49,France,DE2718209449,REF-00060,Main warehouse,,Y,6,Luxembourg,70139.1,EUR,11689.85,N,N,2021-12-07 12:49:40,2021-Q4,2
INV000061,380,2021-07-04 22:59:03,2021-08-03 22:59:03,N,Company_022,PO-Company_044-00061,Y,22,Luxembourg,DE3176992122,REF-00061,Main warehouse,,Y,44,Luxembourg,8780.65,EUR,1463.44,Y,N,2021-08-02 22:59:03,2021-Q3,1
INV000062,380,2023-09-11 16:28:45,2023-10-11 16:28:45,N,Company_034,PO-Company_002-00062,Y,34,Luxembourg,DE6058451134,REF-00062,Main warehouse,,Y,2,France,12878.95,EUR,2146.49,N,N,2023-10-08 16:28:45,2023-Q3,1
INV000063,380,2023-08-01 00:55:38,2023-08-31 00:55:38,N,Company_047,PO-Company_007-00063,Y,47,Luxembourg,DE6909050247,REF-00063,Main warehouse,,Y,7,France,109202.65,EUR,18200.44,N,N,2023-08-26 00:55:38,2023-Q3,1
INV000064,380,2023-10-01 15:51:14,2023-10-31 15:51:14,N,Company_030,PO-Company_028-00064,Y,30,Luxembourg,DE7390224630,REF-00064,Main warehouse,,Y,28,Luxembourg,7627.9,EUR,1271.32,Y,Y,2023-10-26 15:51:14,2023-Q4,1
INV000065,380,2025-03-21 07:13:05,2025-04-20 07:13:05,N,Company_011,PO-Company_020-00065,Y,11,Luxembourg,DE3305024711,REF-00065,Main warehouse,,Y,20,France,61179.41,EUR,10196.57,N,Y,2025-04-16 07:13:05,2025-Q1,1
INV000066,380,2024-08-28 08:35:02,2024-09-27 08:35:02,N,Company_045,PO-CUST-00066,Y,45,France,DE8643557145,REF-00066,Main warehouse,,Y,,,47740.57,EUR,7956.76,N,N,2024-09-22 08:35:02,2024-Q3,1
INV000067,380,2021-06-27 07:29:09,2021-07-27 07:29:09,N,Company_017,PO-Company_050-00067,Y,17,Luxembourg,DE9670770517,REF-00067,Main warehouse,,Y,50,Luxembourg,90703.64,EUR,15117.27,Y,N,2021-07-26 07:29:09,2021-Q2,2
INV000068,380,2024-09-07 18:24:20,2024-10-07 18:24:20,N,Company_002,PO-Company_017-00068,Y,2,France,DE500170522,REF-00068,Main warehouse,,Y,17,Luxembourg,47768.47,EUR,7961.41,N,N,2024-10-02 18:24:20,2024-Q3,3
INV000069,380,2022-11-14 04:23:22,2022-12-14 04:23:22,N,Company_001,PO-CUST-00069,Y,1,Luxembourg,DE697715311,REF-00069,Main warehouse,,Y,,,59800.57,EUR,9966.76,N,N,2022-12-09 04:23:22,2022-Q4,3
INV000070,380,2022-06-19 06:14:01,2022-07-19 06:14:01,N,Company_022,PO-CUST-00070,Y,22,Luxembourg,DE2190703322,REF-00070,Main warehouse,,Y,,,2826.49,EUR,471.08,N,Y,2022-07-17 06:14:01,2022-Q2,1
INV000071,380,2020-10-14 04:54:47,2020-11-13 04:54:47,N,Company_025,PO-Company_032-00071,Y,25,France,DE2035070925,REF-00071,Main warehouse,,Y,32,France,6066.32,EUR,1011.05,N,Y,2020-11-10 04:54:47,2020-Q4,3
INV000072,380,2021-07-21 00:52:06,2021-08-20 00:52:06,N,Company_033,PO-Company_049-00072,Y,33,Luxembourg,DE3306381633,REF-00072,Main warehouse,,Y,49,Luxembourg,38307.85,EUR,6384.64,Y,Y,2021-08-16 00:52:06,2021-Q3,2
INV000073,380,2021-11-16 13:37:11,2021-12-16 13:37:11,N,Company_030,PO-Company_020-00073,Y,30,France,DE5151148630,REF-00073,Main warehouse,,Y,20,Luxembourg,4904.77,EUR,817.46,Y,N,2021-12-13 13:37:11,2021-Q4,1
INV000074,380,2020-05-19 22:55:32,2020-06-18 22:55:32,N,Company_014,PO-Company_046-00074,Y,14,Luxembourg,DE9202669514,REF-00074,Main warehouse,,Y,46,France,97783.49,EUR,16297.25,N,N,2020-06-15 22:55:32,2020-Q2,3
INV000075,380,2022-07-28 05:26:35,2022-08-27 05:26:35,N,Company_027,PO-CUST-00075,Y,27,France,DE3384853027,REF-00075,Main warehouse,,Y,,,1206.32,EUR,201.05,N,N,2022-08-23 05:26:35,2022-Q3,2
INV000076,380,2021-08-20 10:33:40,2021-09-19 10:33:40,N,Company_031,PO-CUST-00076,Y,31,France,DE9451083131,REF-00076,Main warehouse,,Y,,,12879.56,EUR,2146.59,N,N,2021-09-16 10:33:40,2021-Q3,1
INV000077,380,2021-03-24 17:07:39,2021-04-23 17:07:39,N,Company_010,PO-CUST-00077,Y,10,France,DE6628705310,REF-00077,Main warehouse,,Y,,,25750.48,EUR,4291.75,N,Y,2021-04-18 17:07:39,2021-Q1,1
INV000078,380,2022-09-24 01:42:47,2022-10-24 01:42:47,N,Company_035,PO-Company_006-00078,Y,35,France,DE4401589035,REF-00078,Main warehouse,,Y,6,Luxembourg,13430.51,EUR,2238.42,N,Y,2022-10-20 01:42:47,2022-Q3,3
INV000079,380,2024-04-23 20:25:20,2024-05-23 20:25:20,N,Company_038,PO-Company_031-00079,Y,38,France,DE1860615838,REF-00079,Main warehouse,,Y,31,Luxembourg,34360.5,EUR,5726.75,N,N,2024-05-19 20:25:20,2024-Q2,1
INV000080,380,2020-12-17 17:16:57,2021-01-16 17:16:57,N,Company_048,PO-Company_004-00080,Y,48,Luxembourg,DE7908313748,REF-00080,Main warehouse,,Y,4,Luxembourg,17435.82,EUR,2905.97,Y,N,2021-01-14 17:16:57,2020-Q4,2
INV000081,380,2020-09-04 21:03:11,2020-10-04 21:03:11,N,Company_012,PO-Company_046-00081,Y,12,Luxembourg,DE5865036312,REF-00081,Main warehouse,,Y,46,France,7268.88,EUR,1211.48,Y,N,2020-10-04 21:03:11,2020-Q3,1
INV000082,380,2024-04-27 06:07:03,2024-05-27 06:07:03,N,Company_007,PO-Company_049-00082,Y,7,Luxembourg,DE580105957,REF-00082,Main warehouse,,Y,49,Luxembourg,4982.39,EUR,830.4,Y,N,2024-05-23 06:07:03,2024-Q2,2
INV000083,380,2022-08-11 10:54:16,2022-09-10 10:54:16,N,Company_022,PO-Company_046-00083,Y,22,France,DE4702307322,REF-00083,Main warehouse,,Y,46,France,909.01,EUR,151.5,N,N,2022-09-07 10:54:16,2022-Q3,1
INV000084,380,2023-11-20 09:12:26,2023-12-20 09:12:26,N,Company_041,PO-Company_004-00084,Y,41,France,DE6473505041,REF-00084,Main warehouse,,Y,4,France,69517.24,EUR,11586.21,N,Y,2023-12-19 09:12:26,2023-Q4,3
INV000085,380,2020-10-16 05:15:28,2020-11-15 05:15:28,N,Company_018,PO-CUST-00085,Y,18,Luxembourg,DE3059874918,REF-00085,Main warehouse,,Y,,,23755.6,EUR,3959.27,Y,Y,2020-11-15 05:15:28,2020-Q4,1
INV000086,380,2024-01-11 11:52:44,2024-02-10 11:52:44,N,Company_039,PO-Company_037-00086,Y,39,France,DE6867103639,REF-00086,Main warehouse,,Y,37,France,19841.56,EUR,3306.93,Y,N,2024-02-06 11:52:44,2024-Q1,2
INV000087,380,2020-02-24 22:12:21,2020-03-25 22:12:21,N,Company_022,PO-Company_046-00087,Y,22,Luxembourg,DE7319421222,REF-00087,Main warehouse,,Y,46,Luxembourg,70183.85,EUR,11697.31,Y,Y,2020-03-25 22:12:21,2020-Q1,1
INV000088,380,2024-06-04 06:48:11,2024-07-04 06:48:11,N,Company_023,PO-Company_024-00088,Y,23,Luxembourg,DE3770530523,REF-00088,Main warehouse,,Y,24,France,41234.78,EUR,6872.46,Y,Y,2024-07-01 06:48:11,2024-Q2,3
INV000089,380,2022-05-02 17:53:52,2022-06-01 17:53:52,N,Company_046,PO-CUST-00089,Y,46,Luxembourg,DE1883515546,REF-00089,Main warehouse,,Y,,,19567.44,EUR,3261.24,N,N,2022-05-28 17:53:52,2022-Q2,3
INV000090,380,2025-01-19 08:48:24,2025-02-18 08:48:24,N,Company_034,PO-Company_016-00090,Y,34,Luxembourg,DE2513528034,REF-00090,Main warehouse,,Y,16,France,62290.98,EUR,10381.83,N,N,2025-02-16 08:48:24,2025-Q1,1
INV000091,380,2024-01-19 23:32:35,2024-02-18 23:32:35,N,Company_022,PO-Company_044-00091,Y,22,France,DE4686182922,REF-00091,Main warehouse,,Y,44,Luxembourg,7199.63,EUR,1199.94,N,Y,2024-02-14 23:32:35,2024-Q1,1
INV000092,380,2021-01-01 09:28:00,2021-01-31 09:28:00,N,Company_029,PO-CUST-00092,Y,29,Luxembourg,DE3948103029,REF-00092,Main warehouse,,Y,,,1979.0,EUR,329.83,Y,Y,2021-01-28 09:28:00,2021-Q1,1
INV000093,380,2020-01-26 02:58:34,2020-02-25 02:58:34,N,Company_044,PO-Company_032-00093,Y,44,France,DE7645842244,REF-00093,Main warehouse,,Y,32,France,11883.0,EUR,1980.5,N,N,2020-02-23 02:58:34,2020-Q1,3
INV000094,380,2021-07-09 06:21:04,2021-08-08 06:21:04,N,Company_036,PO-Company_041-00094,Y,36,Luxembourg,DE7422415736,REF-00094,Main warehouse,,Y,41,France,85945.28,EUR,14324.21,Y,N,2021-08-08 06:21:04,2021-Q3,3
INV000095,380,2023-12-18 17:23:54,2024-01-17 17:23:54,N,Company_016,PO-CUST-00095,Y,16,Luxembourg,DE8194995516,REF-00095,Main warehouse,,Y,,,7845.22,EUR,1307.54,Y,Y,2024-01-16 17:23:54,2023-Q4,2
INV000096,380,2023-04-07 12:00:51,2023-05-07 12:00:51,N,Company_029,PO-CUST-00096,Y,29,France,DE3845756529,REF-00096,Main warehouse,,Y,,,88235.66,EUR,14705.94,N,N,2023-05-06 12:00:51,2023-Q2,1
INV000097,380,2022-03-06 15:21:00,2022-04-05 15:21:00,N,Company_023,PO-Company_024-00097,Y,23,Luxembourg,DE1598021123,REF-00097,Main warehouse,,Y,24,France,29331.62,EUR,4888.6,N,N,2022-03-31 15:21:00,2022-Q1,3
INV000098,380,2021-01-04 09:51:30,2021-02-03 09:51:30,N,Company_039,PO-CUST-00098,Y,39,France,DE6640249339,REF-00098,Main warehouse,,Y,,,7523.86,EUR,1253.98,N,N,2021-02-03 09:51:30,2021-Q1,2
INV000099,380,2023-04-24 22:12:35,2023-05-24 22:12:35,N,Company_006,PO-Company_031-00099,Y,6,France,DE757413676,REF-00099,Main warehouse,,Y,31,Luxembourg,48846.24,EUR,8141.04,Y,Y,2023-05-23 22:12:35,2023-Q2,2
INV000100,380,2024-09-08 07:27:58,2024-10-08 07:27:58,N,Company_049,PO-Company_025-00100,Y,49,France,DE4229626649,REF-00100,Main warehouse,,Y,25,Luxembourg,9022.54,EUR,1503.76,Y,N,2024-10-06 07:27:58,2024-Q3,2
INV000101,380,2025-04-13 12:34:58,2025-05-13 12:34:58,N,Company_006,PO-Company_031-00101,Y,6,Luxembourg,DE700058076,REF-00101,Main warehouse,,Y,31,Luxembourg,22115.27,EUR,3685.88,N,Y,2025-05-10 12:34:58,2025-Q2,2
INV000102,380,2023-06-22 13:01:32,2023-07-22 13:01:32,N,Company_011,PO-Company_003-00102,Y,11,France,DE4092098911,REF-00102,Main warehouse,,Y,3,France,42612.11,EUR,7102.02,Y,N,2023-07-18 13:01:32,2023-Q2,1
INV000103,380,2020-09-04 18:38:47,2020-10-04 18:38:47,N,Company_024,PO-Company_031-00103,Y,24,Luxembourg,DE5831513624,REF-00103,Main warehouse,,Y,31,Luxembourg,59836.86,EUR,9972.81,Y,Y,2020-10-01 18:38:47,2020-Q3,2
